iter	Logloss
0	0.6747430019
1	0.6580612565
2	0.6430255474
3	0.6266545627
4	0.6148335331
5	0.604593008
6	0.594231988
7	0.5840532458
8	0.5763951836
9	0.5684754276
10	0.5616003855
11	0.5555871384
12	0.5489622359
13	0.5439451291
14	0.5395066599
15	0.5344235516
16	0.5284449536
17	0.5245311886
18	0.5214959419
19	0.5181506587
20	0.5145036894
21	0.5110151275
22	0.508102407
23	0.5062174218
24	0.5039735982
25	0.5018673042
26	0.5000984503
27	0.4976262925
28	0.4957006169
29	0.4939527288
30	0.491536691
31	0.4900129523
32	0.4885867443
33	0.4877605973
34	0.4866062643
35	0.4852299661
36	0.4840786371
37	0.4829505347
38	0.4820401231
39	0.4808167405
40	0.4802788455
41	0.4792761101
42	0.478883449
43	0.4781223156
44	0.4770802853
45	0.4769755348
46	0.4759257555
47	0.4747760031
48	0.4740912137
49	0.4731527393
50	0.4725947371
51	0.4722224162
52	0.4716953916
53	0.4711914009
54	0.4710469674
55	0.4704738245
56	0.4696019967
57	0.4692311559
58	0.4686581852
59	0.46816937
60	0.4669804559
61	0.466406003
62	0.4657438653
63	0.4657426182
64	0.4654077782
65	0.4652603277
66	0.4648578449
67	0.4646974156
68	0.464416456
69	0.4638951522
70	0.4635120104
71	0.4633973065
72	0.4632812439
73	0.4623189939
74	0.4622762443
75	0.4621311669
76	0.4614876222
77	0.4611879381
78	0.4607524617
79	0.4607420898
80	0.4606066142
81	0.4605404646
82	0.4603205728
83	0.4599274742
84	0.4594090331
85	0.4592620066
86	0.4592023301
87	0.4589819432
88	0.4588125098
89	0.4581671938
90	0.4577078753
91	0.4574968351
92	0.4572441327
93	0.4569115157
94	0.4565132593
95	0.4562280299
96	0.4561791574
97	0.4559432732
98	0.4555751661
99	0.4551106632
100	0.4550672256
101	0.4550416218
102	0.4546140321
103	0.4546103654
104	0.4545140271
105	0.4542813252
106	0.4540993142
107	0.4536424367
108	0.4535586142
109	0.4534476338
110	0.4532758102
111	0.4530467418
112	0.4528835531
113	0.4524512483
114	0.4524512472
115	0.4524364041
116	0.4522792902
117	0.4520417825
118	0.451789377
119	0.4516695874
120	0.451658973
121	0.4511158135
122	0.4508535825
123	0.4505105281
124	0.4503799574
125	0.4503799492
126	0.4501823851
127	0.4500908578
128	0.449762922
129	0.4494788419
130	0.4494288117
131	0.4490650639
132	0.4490436855
133	0.4487662781
134	0.4485980685
135	0.4484248172
136	0.4479026961
137	0.4478686885
138	0.4475715183
139	0.4474504335
140	0.447201878
141	0.4465772892
142	0.4462885774
143	0.446127339
144	0.4460794488
145	0.445821805
146	0.4457873977
147	0.4457819463
148	0.4456400857
149	0.4450959336
150	0.444910825
151	0.4448403823
152	0.4446055062
153	0.4444614225
154	0.4440993234
155	0.4440334554
156	0.4439585815
157	0.4439414883
