iter	Passed	Remaining
0	20	20384
1	36	18416
2	52	17293
3	67	16757
4	81	16278
5	93	15530
6	110	15621
7	125	15607
8	138	15235
9	152	15143
10	168	15108
11	182	15015
12	198	15081
13	210	14823
14	223	14686
15	239	14701
16	256	14846
17	273	14927
18	288	14899
19	303	14880
20	318	14846
21	332	14764
22	347	14746
23	361	14690
24	376	14680
25	391	14682
26	406	14644
27	420	14607
28	435	14569
29	449	14531
30	465	14551
31	481	14551
32	495	14523
33	510	14499
34	525	14483
35	541	14499
36	556	14487
37	571	14469
38	588	14499
39	604	14510
40	620	14507
41	635	14493
42	646	14390
43	661	14379
44	676	14355
45	682	14149
46	698	14153
47	715	14199
48	731	14194
49	748	14219
50	766	14259
51	781	14247
52	796	14238
53	811	14212
54	817	14040
55	832	14036
56	847	14026
57	862	14001
58	877	14001
59	892	13984
60	907	13965
61	921	13944
62	936	13931
63	942	13780
64	957	13767
65	971	13743
66	988	13767
67	1005	13779
68	1022	13800
69	1040	13826
70	1056	13820
71	1071	13804
72	1083	13763
73	1098	13748
74	1103	13615
75	1114	13546
76	1135	13611
77	1155	13654
78	1171	13652
79	1178	13554
80	1189	13490
81	1196	13392
82	1210	13378
83	1226	13370
84	1240	13357
85	1255	13340
86	1269	13322
87	1288	13351
88	1303	13338
89	1318	13329
90	1333	13317
91	1347	13302
92	1362	13287
93	1377	13275
94	1393	13274
95	1409	13269
96	1415	13179
97	1435	13212
98	1453	13232
99	1472	13251
100	1488	13248
101	1497	13182
102	1518	13226
103	1525	13146
104	1537	13102
105	1554	13112
106	1571	13118
107	1590	13137
108	1607	13140
109	1623	13138
110	1642	13151
111	1659	13153
112	1675	13148
113	1693	13164
114	1698	13070
115	1705	12993
116	1721	12991
117	1740	13010
118	1762	13047
119	1784	13085
120	1793	13027
121	1811	13033
122	1828	13034
123	1845	13039
124	1863	13046
125	1868	12957
126	1884	12951
127	1900	12944
128	1918	12952
129	1934	12946
130	1947	12916
131	1962	12907
132	1968	12835
133	1989	12856
134	2004	12840
135	2018	12825
136	2034	12814
137	2046	12782
138	2062	12773
139	2074	12742
140	2088	12723
141	2103	12712
142	2121	12712
143	2134	12690
144	2149	12674
145	2165	12665
146	2178	12640
147	2185	12583
148	2200	12570
149	2217	12566
150	2232	12550
151	2246	12534
152	2261	12517
153	2277	12508
154	2292	12498
155	2306	12478
156	2321	12464
157	2336	12450
158	2350	12434
159	2365	12416
160	2379	12400
161	2383	12328
162	2397	12313
163	2413	12304
164	2432	12307
165	2437	12248
166	2452	12232
167	2467	12220
168	2482	12207
169	2497	12193
170	2512	12178
171	2527	12164
172	2542	12152
173	2557	12139
174	2571	12124
175	2587	12114
176	2602	12099
177	2622	12112
178	2646	12139
179	2662	12127
180	2675	12108
181	2690	12092
182	2705	12076
183	2719	12059
184	2738	12065
185	2757	12069
186	2775	12065
187	2790	12053
188	2805	12040
189	2820	12023
190	2835	12009
191	2846	11977
192	2851	11924
193	2866	11908
194	2881	11896
195	2887	11845
196	2904	11837
197	2921	11831
198	2938	11826
199	2957	11829
200	2974	11823
201	2991	11816
202	3007	11808
203	3023	11796
204	3038	11783
205	3054	11771
206	3071	11765
207	3079	11725
208	3096	11718
209	3113	11712
210	3130	11704
211	3146	11695
212	3163	11687
213	3181	11686
214	3198	11678
215	3215	11669
216	3229	11654
217	3241	11628
218	3256	11614
219	3270	11596
220	3285	11581
221	3302	11572
222	3317	11558
223	3333	11546
224	3348	11534
225	3364	11521
226	3379	11508
227	3394	11494
228	3410	11482
229	3425	11468
230	3440	11453
231	3455	11438
232	3472	11432
233	3490	11427
234	3509	11425
235	3525	11414
236	3542	11403
237	3557	11391
238	3572	11374
239	3587	11360
240	3603	11347
241	3611	11312
242	3627	11300
243	3643	11287
244	3658	11273
245	3674	11261
246	3694	11262
247	3711	11254
248	3729	11248
249	3748	11245
250	3766	11238
251	3782	11226
252	3797	11212
253	3814	11202
254	3829	11188
255	3851	11194
256	3868	11184
257	3884	11171
258	3900	11158
259	3914	11141
260	3929	11127
261	3945	11113
262	3960	11098
263	3975	11084
264	3991	11071
265	4006	11056
266	4022	11043
267	4038	11030
268	4054	11017
269	4069	11003
270	4090	11004
271	4105	10988
272	4121	10976
273	4138	10965
274	4154	10951
275	4170	10940
276	4187	10928
277	4201	10912
278	4216	10896
279	4232	10882
280	4248	10869
281	4262	10852
282	4276	10836
283	4295	10830
284	4311	10816
285	4326	10801
286	4343	10789
287	4362	10783
288	4380	10776
289	4396	10763
290	4411	10749
291	4426	10733
292	4441	10716
293	4456	10702
294	4471	10686
295	4487	10673
296	4503	10660
297	4519	10645
298	4533	10628
299	4547	10611
300	4563	10597
301	4578	10582
302	4593	10567
303	4609	10552
304	4625	10540
305	4645	10535
306	4660	10519
307	4676	10506
308	4692	10492
309	4708	10481
310	4727	10474
311	4746	10467
312	4765	10458
313	4781	10445
314	4796	10430
315	4812	10415
316	4827	10400
317	4842	10386
318	4860	10376
319	4875	10360
320	4890	10345
321	4906	10330
322	4920	10313
323	4937	10302
324	4953	10287
325	4968	10272
326	4983	10256
327	4998	10239
328	5013	10225
329	5029	10210
330	5044	10195
331	5062	10185
332	5079	10174
333	5097	10165
334	5113	10151
335	5130	10138
336	5146	10124
337	5161	10109
338	5177	10094
339	5192	10079
340	5207	10064
341	5227	10056
342	5242	10042
343	5258	10028
344	5274	10013
345	5289	9998
346	5306	9985
347	5321	9970
348	5337	9955
349	5352	9941
350	5371	9932
351	5388	9919
352	5404	9905
353	5420	9891
354	5437	9878
355	5452	9863
356	5468	9849
357	5484	9834
358	5498	9816
359	5513	9801
360	5528	9785
361	5543	9770
362	5558	9754
363	5573	9738
364	5588	9723
365	5604	9708
366	5620	9694
367	5635	9679
368	5654	9669
369	5672	9658
370	5688	9644
371	5704	9630
372	5723	9621
373	5742	9611
374	5758	9598
375	5773	9581
376	5788	9566
377	5804	9551
378	5819	9535
379	5835	9520
380	5850	9504
381	5864	9488
382	5880	9472
383	5895	9457
384	5910	9442
385	5928	9430
386	5946	9419
387	5962	9405
388	5978	9389
389	5993	9375
390	6008	9358
391	6023	9343
392	6039	9327
393	6055	9313
394	6070	9298
395	6086	9282
396	6101	9267
397	6117	9252
398	6132	9237
399	6148	9222
400	6163	9207
401	6184	9199
402	6204	9190
403	6220	9176
404	6235	9161
405	6251	9146
406	6266	9130
407	6282	9115
408	6298	9100
409	6313	9085
410	6329	9070
411	6343	9053
412	6358	9037
413	6378	9029
414	6397	9018
415	6413	9003
416	6426	8984
417	6442	8969
418	6458	8954
419	6473	8940
420	6488	8923
421	6504	8908
422	6519	8893
423	6535	8878
424	6551	8863
425	6566	8847
426	6582	8833
427	6597	8816
428	6614	8803
429	6630	8789
430	6645	8773
431	6661	8758
432	6677	8743
433	6692	8728
434	6708	8713
435	6727	8702
436	6745	8690
437	6765	8680
438	6780	8664
439	6795	8648
440	6809	8632
441	6825	8616
442	6840	8601
443	6856	8585
444	6872	8571
445	6888	8556
446	6905	8543
447	6921	8528
448	6937	8513
449	6953	8498
450	6968	8482
451	6983	8466
452	7000	8453
453	7015	8437
454	7031	8422
455	7049	8410
456	7067	8397
457	7083	8382
458	7098	8366
459	7113	8350
460	7128	8334
461	7145	8320
462	7161	8306
463	7183	8298
464	7202	8286
465	7220	8274
466	7240	8263
467	7258	8250
468	7276	8238
469	7296	8228
470	7317	8218
471	7341	8212
472	7361	8201
473	7379	8188
474	7407	8186
475	7425	8174
476	7444	8162
477	7460	8147
478	7476	8131
479	7491	8116
480	7508	8101
481	7524	8085
482	7538	8069
483	7554	8053
484	7569	8037
485	7586	8023
486	7606	8012
487	7626	8002
488	7643	7987
489	7659	7971
490	7673	7955
491	7689	7939
492	7707	7925
493	7726	7914
494	7744	7900
495	7760	7885
496	7775	7869
497	7792	7854
498	7808	7839
499	7823	7823
500	7838	7807
501	7855	7792
502	7870	7776
503	7886	7761
504	7902	7745
505	7917	7729
506	7933	7714
507	7948	7698
508	7964	7682
509	7980	7667
510	7996	7651
511	8012	7636
512	8028	7621
513	8043	7605
514	8059	7590
515	8074	7573
516	8090	7558
517	8106	7543
518	8122	7527
519	8140	7514
520	8156	7498
521	8173	7484
522	8189	7469
523	8204	7453
524	8220	7437
525	8237	7423
526	8253	7407
527	8268	7391
528	8284	7376
529	8299	7360
530	8316	7345
531	8333	7330
532	8352	7318
533	8376	7309
534	8393	7295
535	8409	7279
536	8424	7263
537	8440	7248
538	8456	7232
539	8471	7216
540	8488	7201
541	8503	7185
542	8520	7170
543	8535	7154
544	8550	7138
545	8568	7124
546	8586	7111
547	8604	7097
548	8623	7083
549	8640	7069
550	8658	7055
551	8677	7042
552	8697	7030
553	8722	7022
554	8744	7011
555	8763	6997
556	8782	6985
557	8801	6971
558	8819	6957
559	8836	6942
560	8853	6928
561	8872	6914
562	8890	6901
563	8909	6887
564	8927	6873
565	8952	6864
566	8976	6855
567	9003	6847
568	9025	6836
569	9044	6823
570	9064	6810
571	9080	6794
572	9096	6778
573	9113	6763
574	9131	6749
575	9149	6734
576	9167	6720
577	9184	6705
578	9196	6687
579	9212	6670
580	9227	6654
581	9247	6641
582	9267	6628
583	9283	6613
584	9301	6598
585	9318	6583
586	9336	6568
587	9353	6554
588	9371	6539
589	9389	6524
590	9406	6509
591	9423	6494
592	9439	6478
593	9455	6462
594	9472	6447
595	9489	6432
596	9507	6418
597	9524	6402
598	9539	6386
599	9556	6370
600	9574	6356
601	9593	6342
602	9610	6327
603	9626	6311
604	9641	6295
605	9659	6280
606	9675	6264
607	9691	6248
608	9713	6236
609	9734	6223
610	9757	6211
611	9775	6197
612	9794	6183
613	9814	6169
614	9833	6155
615	9852	6141
616	9871	6127
617	9891	6114
618	9909	6099
619	9926	6083
620	9941	6067
621	9956	6051
622	9971	6033
623	9992	6021
624	10016	6009
625	10032	5993
626	10048	5977
627	10064	5961
628	10079	5944
629	10094	5928
630	10107	5910
631	10123	5894
632	10138	5877
633	10153	5861
634	10169	5845
635	10184	5829
636	10201	5813
637	10217	5797
638	10233	5781
639	10248	5764
640	10264	5748
641	10281	5733
642	10298	5717
643	10315	5702
644	10332	5687
645	10351	5672
646	10369	5657
647	10387	5642
648	10413	5632
649	10431	5616
650	10449	5601
651	10467	5586
652	10485	5571
653	10503	5557
654	10521	5541
655	10540	5527
656	10557	5511
657	10574	5496
658	10590	5480
659	10606	5464
660	10621	5447
661	10636	5430
662	10653	5415
663	10670	5399
664	10689	5384
665	10708	5370
666	10728	5356
667	10745	5340
668	10761	5324
669	10779	5309
670	10795	5293
671	10813	5278
672	10829	5261
673	10847	5246
674	10863	5230
675	10879	5214
676	10895	5198
677	10910	5181
678	10927	5165
679	10943	5150
680	10960	5134
681	10976	5118
682	10992	5101
683	11007	5085
684	11024	5069
685	11040	5053
686	11056	5037
687	11072	5021
688	11087	5004
689	11104	4988
690	11121	4973
691	11140	4958
692	11156	4942
693	11172	4926
694	11194	4912
695	11210	4896
696	11226	4880
697	11241	4863
698	11258	4847
699	11274	4831
700	11289	4815
701	11307	4799
702	11322	4783
703	11338	4767
704	11353	4750
705	11369	4734
706	11387	4719
707	11404	4703
708	11457	4702
709	11486	4691
710	11503	4675
711	11519	4659
712	11535	4643
713	11553	4627
714	11569	4611
715	11587	4596
716	11604	4580
717	11619	4563
718	11635	4547
719	11653	4531
720	11670	4515
721	11691	4501
722	11716	4488
723	11747	4478
724	11772	4465
725	11795	4451
726	11814	4436
727	11832	4421
728	11850	4405
729	11866	4388
730	11881	4372
731	11897	4355
732	11912	4339
733	11928	4322
734	11945	4306
735	11961	4290
736	11977	4274
737	11992	4257
738	12007	4240
739	12022	4224
740	12037	4207
741	12052	4190
742	12068	4174
743	12085	4158
744	12104	4142
745	12121	4127
746	12138	4111
747	12155	4095
748	12174	4079
749	12190	4063
750	12206	4047
751	12224	4031
752	12240	4015
753	12258	3999
754	12274	3983
755	12293	3967
756	12308	3951
757	12325	3935
758	12341	3918
759	12360	3903
760	12376	3887
761	12393	3870
762	12409	3854
763	12425	3838
764	12440	3821
765	12454	3804
766	12470	3788
767	12486	3771
768	12502	3755
769	12517	3739
770	12533	3722
771	12549	3706
772	12569	3691
773	12586	3675
774	12599	3658
775	12615	3641
776	12630	3625
777	12646	3608
778	12661	3591
779	12679	3576
780	12701	3561
781	12724	3547
782	12745	3532
783	12765	3517
784	12784	3501
785	12802	3485
786	12822	3470
787	12841	3454
788	12860	3439
789	12879	3423
790	12896	3407
791	12912	3391
792	12928	3374
793	12944	3358
794	12959	3341
795	12975	3325
796	12990	3308
797	13006	3292
798	13021	3275
799	13039	3259
800	13057	3243
801	13076	3228
802	13097	3213
803	13119	3198
804	13135	3181
805	13151	3165
806	13166	3148
807	13182	3132
808	13198	3116
809	13215	3099
810	13231	3083
811	13246	3066
812	13262	3050
813	13278	3034
814	13294	3017
815	13310	3001
816	13327	2985
817	13342	2968
818	13358	2952
819	13382	2937
820	13402	2922
821	13418	2905
822	13435	2889
823	13450	2872
824	13467	2856
825	13483	2840
826	13498	2823
827	13513	2807
828	13529	2790
829	13546	2774
830	13561	2758
831	13578	2741
832	13594	2725
833	13610	2708
834	13631	2693
835	13647	2677
836	13663	2660
837	13684	2645
838	13705	2630
839	13722	2613
840	13738	2597
841	13752	2580
842	13766	2563
843	13782	2547
844	13798	2531
845	13816	2515
846	13832	2498
847	13848	2482
848	13866	2466
849	13886	2450
850	13901	2433
851	13916	2417
852	13934	2401
853	13949	2384
854	13966	2368
855	13982	2352
856	13997	2335
857	14012	2319
858	14029	2302
859	14045	2286
860	14060	2269
861	14076	2253
862	14092	2237
863	14108	2220
864	14125	2204
865	14140	2188
866	14157	2171
867	14173	2155
868	14193	2139
869	14211	2123
870	14228	2107
871	14252	2092
872	14271	2076
873	14285	2059
874	14301	2043
875	14317	2026
876	14335	2010
877	14353	1994
878	14371	1978
879	14388	1962
880	14406	1945
881	14421	1929
882	14436	1912
883	14453	1896
884	14470	1880
885	14489	1864
886	14509	1848
887	14529	1832
888	14549	1816
889	14569	1800
890	14587	1784
891	14605	1768
892	14623	1752
893	14645	1736
894	14665	1720
895	14686	1704
896	14707	1688
897	14725	1672
898	14744	1656
899	14761	1640
900	14779	1623
901	14795	1607
902	14811	1591
903	14828	1574
904	14846	1558
905	14862	1542
906	14876	1525
907	14892	1508
908	14907	1492
909	14924	1476
910	14941	1459
911	14959	1443
912	14978	1427
913	14995	1410
914	15011	1394
915	15028	1378
916	15044	1361
917	15061	1345
918	15078	1329
919	15096	1312
920	15113	1296
921	15130	1280
922	15147	1263
923	15165	1247
924	15182	1231
925	15198	1214
926	15214	1198
927	15229	1181
928	15246	1165
929	15265	1149
930	15285	1132
931	15304	1116
932	15324	1100
933	15343	1084
934	15365	1068
935	15383	1051
936	15400	1035
937	15416	1018
938	15431	1002
939	15446	985
940	15465	969
941	15480	953
942	15497	936
943	15512	920
944	15528	903
945	15544	887
946	15560	870
947	15576	854
948	15592	837
949	15611	821
950	15627	805
951	15643	788
952	15660	772
953	15681	756
954	15703	739
955	15720	723
956	15736	707
957	15752	690
958	15770	674
959	15785	657
960	15803	641
961	15818	624
962	15834	608
963	15849	591
964	15865	575
965	15880	558
966	15897	542
967	15912	526
968	15929	509
969	15949	493
970	15965	476
971	15981	460
972	15997	443
973	16013	427
974	16028	410
975	16044	394
976	16061	378
977	16076	361
978	16090	345
979	16104	328
980	16123	312
981	16144	295
982	16163	279
983	16182	263
984	16202	246
985	16220	230
986	16239	213
987	16257	197
988	16275	181
989	16293	164
990	16313	148
991	16330	131
992	16352	115
993	16367	98
994	16383	82
995	16399	65
996	16414	49
997	16432	32
998	16449	16
999	16466	0
